year,is_challengeABS_overturned,original_isStrike_ump,sz_challenge_prob,sz_challenge_prob_gain,sz_challenge_prob_lost,chal_gained,chal_lost,player_at_bat,edge_dist_calc,batter_name,bat_side,bat_team_id,fld_team_id,is_strike3_removed,is_ball4_added,game_pk,play_id,game_date,pitcher,pitcher_name,fielder_2,catcher_name,challenging_player_id,pre_ball_count,pre_strike_count,event_inning,outs,bat_score,fld_score,strikeZoneTop,strikeZoneBottom,widthinches,plateX,plateZ,plate_X,plate_Z,is_challengeABS_reasonable_attempt,sz_challenge_runs,sz_challenge_overturned_runs,sz_challenge_lost_runs,id,player_team,opp_team,name,is_strikeout_overturn,is_walk_overturn,is_strikeout_overturn_against,is_strikeout_or_walk_overturn,is_walk_overturn_against,is_strikeout_or_walk_overturn_against,batter_name_flipped,catcher_name_flipped,pitcher_name_flipped,level,levelCode,player_team_abbr,opp_team_abbr,player_parent_team,opp_parent_team,bat_team_abbr,fld_team_abbr,against,team_summary_mode,player_play_key,challenge_team_id,challenge_team_abbr,challenge_team_name,challenge_side,challenger_name,bases,base_state,balls,strikes,inning,half,pitch_start_time,original_call,corrected_call,actual_call,wp_original_call,wp_overturned_call,wp_actual_call,wpa_if_overturned,direct_wpa,option_wpa_if_failed,option_wpa_proxy,total_xwpa,risk_adjusted_xwpa,breakeven_overturn_prob,challenge_losses_before,challenge_losses_after,challenge_loss_limit,remaining_challenge_losses_before,exhausted_after
2026,1,0,0.6173875027473885,0.6173875027473885,0,0.3826124972526115,0,686948,-3.524967881494507,"Baldwin, Drake",L,144,120,0,0,822745,ca668b9e-d799-3ee8-8cb1-86071fe8f6f8,2026-04-23T00:00:00.000Z,676917,"Cavalli, Cade",660688,"Ruiz, Keibert",660688,2,1,5,0,2,2,3.206,1.618,17,-0.535419343208791,2.924697517503341,-0.535419343208791,2.924697517503341,1,0.30118564350488086,0.30118564350488086,0,120,120,144,120,0,0,0,0,0,0,Drake Baldwin,Keibert Ruiz,Cade Cavalli,,Major League Baseball,WSH,ATL,,,ATL,WSH,False,catcher-for,120_ca668b9e-d799-3ee8-8cb1-86071fe8f6f8,120,WSH,Washington Nationals,fielding,Keibert Ruiz,1,1B--,2,1,5,Top,2026-04-23T18:09:02.436Z,Ball,Strike,Strike,0.4225055777152338,0.4586161303242834,0.4586161303242834,0.036110552609049607,0.036110552609049607,-0.022600000000000002,0.0,0.036110552609049607,0.036110552609049607,0.3849393166249376,0,0,2,2,False
2026,0,1,0.09483091446992638,0,0.09483091446992638,0,0.9051690855300736,695578,-0.9420805089048088,"Wood, James",L,120,144,0,0,822745,2b485e19-9786-34ec-8a07-a7e9325e2072,2026-04-23T00:00:00.000Z,702275,"Ritchie, JR",686948,"Baldwin, Drake",695578,3,1,5,2,2,2,3.489,1.761,17,-0.7506599575912658,2.854128499238363,-0.7506599575912658,2.854128499238363,0,-0.226,0,0.226,120,120,144,120,0,0,0,0,0,0,James Wood,Drake Baldwin,JR Ritchie,,Major League Baseball,WSH,ATL,,,WSH,ATL,False,batter-for,120_2b485e19-9786-34ec-8a07-a7e9325e2072,120,WSH,Washington Nationals,batting,James Wood,0,---,3,1,5,Bot,2026-04-23T18:20:31.809Z,Strike,Ball,Strike,0.5171457536828683,0.5316813790500042,0.5171457536828683,0.01453562536713593,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.6085800299999907,0,1,2,2,False
2026,1,0,0.1667949857201137,0.1667949857201137,0,0.8332050142798864,0,682928,-1.2005824258360143,"Abrams, CJ",L,120,144,0,0,822745,1c57f338-eeab-3a45-b836-bb3cfbad1179,2026-04-23T00:00:00.000Z,702275,"Ritchie, JR",686948,"Baldwin, Drake",686948,0,0,1,2,1,0,3.223,1.626,17,0.7291181311803321,1.7646386119050126,0.7291181311803321,1.7646386119050126,1,0.028053158530065847,0.028053158530065847,0,144,144,120,144,0,0,0,0,0,0,CJ Abrams,Drake Baldwin,JR Ritchie,,Major League Baseball,ATL,WSH,,,WSH,ATL,False,catcher-for,144_1c57f338-eeab-3a45-b836-bb3cfbad1179,144,ATL,Atlanta Braves,fielding,Drake Baldwin,0,---,0,0,1,Bot,2026-04-23T17:17:11.289Z,Ball,Strike,Strike,0.38513026754352747,0.38834320768624625,0.38834320768624625,0.0032129401427187787,0.0032129401427187787,-0.022600000000000002,0.0,0.0032129401427187787,0.0032129401427187787,0.875529865061688,0,0,2,2,False
2026,1,0,0.3202005444451078,0.3202005444451078,0,0.6797994555548922,0,677588,-2.0771158548328756,"Tena, Jose",L,120,144,0,0,822745,0ab26ac2-1d2a-3829-829d-e940605275d3,2026-04-23T00:00:00.000Z,702275,"Ritchie, JR",686948,"Baldwin, Drake",686948,0,1,4,0,1,2,3.14,1.585,17,-0.5790250421382145,1.637259654569406,-0.5790250421382145,1.637259654569406,1,0.0828588345785532,0.0828588345785532,0,144,144,120,144,0,0,0,0,0,0,Jose Tena,Drake Baldwin,JR Ritchie,,Major League Baseball,ATL,WSH,,,WSH,ATL,False,catcher-for,144_0ab26ac2-1d2a-3829-829d-e940605275d3,144,ATL,Atlanta Braves,fielding,Drake Baldwin,0,---,0,1,4,Bot,2026-04-23T17:58:52.409Z,Ball,Strike,Strike,0.575881535940585,0.5871526513927505,0.5871526513927505,0.011271115452165525,0.011271115452165525,-0.022600000000000002,0.0,0.011271115452165525,0.011271115452165525,0.6672351854463383,0,0,2,2,False
2026,1,0,0.752036153088375,0.752036153088375,0,0.24796384691162499,0,695578,-2.322647702831455,"Wood, James",L,120,144,0,0,822745,cadaac3b-59c6-3ff5-9eea-f42c45b0fe7f,2026-04-23T00:00:00.000Z,702275,"Ritchie, JR",686948,"Baldwin, Drake",686948,3,2,5,2,2,2,3.489,1.761,17,0.5621312853515983,1.8337206419026213,0.5621312853515983,1.8337206419026213,1,0.2286627399825109,0.2286627399825109,0,144,144,120,144,1,1,0,2,0,0,James Wood,Drake Baldwin,JR Ritchie,,Major League Baseball,ATL,WSH,,,WSH,ATL,False,catcher-for,144_cadaac3b-59c6-3ff5-9eea-f42c45b0fe7f,144,ATL,Atlanta Braves,fielding,Drake Baldwin,0,---,3,2,5,Bot,2026-04-23T18:20:59.421Z,Ball,Strike,Strike,0.46831862094999555,0.49999999999999994,0.49999999999999994,0.0316813790500044,0.0316813790500044,-0.022600000000000002,0.0,0.0316813790500044,0.0316813790500044,0.41634903894355224,0,0,2,2,False
2026,1,0,0.7910644049854872,0.7910644049854872,0,0.20893559501451275,0,695578,-2.0851481777627257,"Wood, James",L,120,144,0,0,822745,9d0fe472-f2e9-389f-8a98-e0da84c977b4,2026-04-23T00:00:00.000Z,669276,"Lee, Dylan",686948,"Baldwin, Drake",686948,3,2,8,1,2,6,3.489,1.761,17,0.30386981728890505,1.8139290148135605,0.30386981728890505,1.8139290148135605,1,0.42876497714340145,0.42876497714340145,0,144,144,120,144,1,1,0,2,0,0,James Wood,Drake Baldwin,Dylan Lee,,Major League Baseball,ATL,WSH,,,WSH,ATL,False,catcher-for,144_9d0fe472-f2e9-389f-8a98-e0da84c977b4,144,ATL,Atlanta Braves,fielding,Drake Baldwin,0,---,3,2,8,Bot,2026-04-23T19:20:28.704Z,Ball,Strike,Strike,0.9559504258934708,0.9810537125119434,0.9810537125119434,0.02510328661847261,0.02510328661847261,-0.022600000000000002,0.0,0.02510328661847261,0.02510328661847261,0.4737619061921906,0,0,2,2,False
2026,0,0,0.1792405587087636,0,0.1792405587087636,0,0.8207594412912365,660670,0.09196355461399364,"Acuna Jr., Ronald",R,144,120,0,0,822747,453c5f94-d27a-3457-95e7-7c096183e1a9,2026-04-21T00:00:00.000Z,656492,"Griffin, Foster",686452,"Millas, Drew",686452,2,2,1,0,0,0,3.201,1.615,17,0.8368302962178327,2.928554838764608,0.8368302962178327,2.928554838764608,0,-0.226,0,0.226,120,120,144,120,0,0,0,0,0,0,Ronald Acuna Jr.,Drew Millas,Foster Griffin,,Major League Baseball,WSH,ATL,,,ATL,WSH,False,catcher-for,120_453c5f94-d27a-3457-95e7-7c096183e1a9,120,WSH,Washington Nationals,fielding,Drew Millas,0,---,2,2,1,Top,2026-04-21T22:47:19.163Z,Ball,Strike,Ball,0.4965807358034237,0.5218709931341684,0.4965807358034237,0.025290257330744692,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.4719122690011357,0,1,2,2,False
2026,1,1,0.11066880925170812,0.11066880925170812,0,0.8893311907482919,0,695578,2.9832377558342547,"Wood, James",L,120,144,0,0,822747,54f7bd24-2a2c-32e3-9d7f-db8962c62738,2026-04-21T00:00:00.000Z,625643,"Lopez, Reynaldo",641680,"Heim, Jonah",695578,1,0,1,0,0,0,3.489,1.761,17,-0.5847022313496933,1.3915635203471455,-0.5847022313496933,1.3915635203471455,1,0.13086339234715488,0.13086339234715488,0,120,120,144,120,0,0,0,0,0,0,James Wood,Jonah Heim,Reynaldo Lopez,,Major League Baseball,WSH,ATL,,,WSH,ATL,False,batter-for,120_54f7bd24-2a2c-32e3-9d7f-db8962c62738,120,WSH,Washington Nationals,batting,James Wood,0,---,1,0,1,Bot,2026-04-21T22:52:14.254Z,Strike,Ball,Ball,0.5464547604756289,0.5593217530995099,0.5593217530995099,0.012866992623881024,0.012866992623881024,-0.022600000000000002,0.0,0.012866992623881024,0.012866992623881024,0.6372121887995297,1,1,2,1,False
2026,0,0,0.10538336318790904,0,0.10538336318790904,0,0.8946166368120909,643289,0.23625252921930517,"Dubon, Mauricio",R,144,120,0,0,822747,98755b99-55f8-38a2-8d2b-b90afbcdd926,2026-04-21T00:00:00.000Z,672335,"Perez, Cionel",686452,"Millas, Drew",686452,0,0,8,2,4,8,3.171,1.6,17,-0.8488543774349421,1.7987016544235188,-0.8488543774349421,1.7987016544235188,0,-0.226,0,0.226,120,120,144,120,0,0,0,0,0,0,Mauricio Dubon,Drew Millas,Cionel Perez,,Major League Baseball,WSH,ATL,,,ATL,WSH,False,catcher-for,120_98755b99-55f8-38a2-8d2b-b90afbcdd926,120,WSH,Washington Nationals,fielding,Drew Millas,2,-2B-,0,0,8,Top,2026-04-22T01:21:34.622Z,Ball,Strike,Ball,0.976114146701796,0.9791318087313213,0.976114146701796,0.0030176620295253587,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.882203847250097,1,2,2,1,True
2026,0,1,0.2766739056931485,0,0.2766739056931485,0,0.7233260943068516,660670,-0.9711273751226557,"Acuna Jr., Ronald",R,144,120,0,0,822747,b454aeb4-fa3d-3120-a588-45df7be9a510,2026-04-21T00:00:00.000Z,656492,"Griffin, Foster",686452,"Millas, Drew",660670,3,2,1,0,0,0,3.201,1.615,17,0.7482393854064453,2.3244250663085397,0.7482393854064453,2.3244250663085397,1,-0.226,0,0.226,144,144,120,144,0,0,0,0,0,0,Ronald Acuna Jr.,Drew Millas,Foster Griffin,,Major League Baseball,ATL,WSH,,,ATL,WSH,False,batter-for,144_b454aeb4-fa3d-3120-a588-45df7be9a510,144,ATL,Atlanta Braves,batting,Ronald Acuna Jr.,0,---,3,2,1,Top,2026-04-21T22:48:02.212Z,Strike,Ball,Strike,0.47812900686583143,0.5355200870786789,0.47812900686583143,0.0573910802128475,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.2825315015107169,0,1,2,2,False
